GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1005717,29.935453,-90.262612,GAO20211026t174729p0000-B,10151.3356,5394.79912
1007607,34.5948,-117.26764,ang20160911t174834-C,60.88,16.41
1007607,34.59453,-117.26808,ang20160911t174834-D,103.04,60.62
1007607,34.59165,-117.26715,ang20160911t174834-E,53.87,144.39
1003679,34.33066,-118.51342,ang20160911t213902-A,217.95,53.32
1004548,36.39318,-119.3792,ang20160916t202433-H,76.09,17.36
1004487,34.139082,-84.037301,GAO20220423t150922p0000-A,,
1005717,29.933796,-90.262095,GAO20211026t175710p0000-B,5977.85257,2857.37264
1004743,34.4051,-118.99399,ang20160930t211208-B,660.23,345.59
1004743,34.40428,-118.99849,ang20160930t211208-C,108.41,38.6
1004743,34.40428,-118.99849,ang20160930t213004-C,750.47,201.41
1002634,34.483,-120.12418,ang20160930t221645-A,151.77,82.27
1002634,34.48393,-120.1254,ang20160930t221645-B,136.82,62.41
1004743,34.40412,-118.99844,ang20160930t223905-A,574.47,106.05
1004743,34.4051,-118.99399,ang20160930t223905-B,375.16,203.85
1004743,34.40428,-118.99849,ang20160930t223905-C,567.86,121.23
1004743,34.40295,-118.99603,ang20160930t223905-D,599.68,209.05
1002107,33.71713,-117.70805,ang20161001t184552-A,93.23,27.62
1002107,33.72204,-117.69723,ang20161001t184552-B,104.09,61.02
1002107,33.72164,-117.70116,ang20161001t184552-C,93.61,31.38
1002107,33.71807,-117.70325,ang20161001t184552-D,64.46,20.97
1002107,33.71852,-117.70146,ang20161001t184552-E,442.37,183.87
1002107,33.72204,-117.69723,ang20161001t185608-A,89.4,25.77
1002107,33.72194,-117.6985,ang20161001t185608-B,125.18,33.49
1007112,37.49839,-122.40765,ang20170620t223221-A,3789.08,1055.21
1002107,33.71744,-117.70415,ang20161001t185608-C,67.42,16.76
1002107,33.71852,-117.70146,ang20161001t185608-D,57.36,19.88
1006149,35.5082,-119.40716,ang20161001t205456-A,148.28,27.33
1006149,35.5082,-119.40716,ang20161001t205820-A,482.4,161.04
1003679,34.32713,-118.51601,ang20161003t200520-A,1664.05,687.78
1003679,34.32601,-118.513,ang20161003t200520-B,1436.69,623.11
