,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230401,09:14:00,52.08,73.88,28,11
1,20230401,10:54:01,45.23,41.25,60,32
2,20230401,18:58:26,-34.52,-58.61,43,23
3,20230402,08:49:47,31.51,73.94,38,19
4,20230402,10:31:07,31.21,49.05,54,20
5,20230403,08:27:41,22.57,88.48,20,8
6,20230403,08:27:54,23.74,90.37,40,18
7,20230403,11:53:57,34.75,40.59,24,13
8,20230403,20:21:44,32.89,-100.28,162,58
9,20230403,20:22:25,36.41,-97.75,40,17
10,20230404,09:50:50,24.91,67.06,45,29
11,20230404,09:52:31,31.49,74.41,38,12
12,20230405,07:51:16,25.55,88.37,96,33
13,20230405,07:59:08,52.08,74.87,30,18
14,20230405,09:30:14,19.12,73.02,75,31
15,20230405,09:31:59,24.49,68.15,71,26
16,20230405,09:32:44,28.64,77.45,85,29
17,20230405,09:33:23,30.85,74.27,28,19
18,20230405,11:13:17,24.65,46.88,34,12
19,20230405,11:14:45,30.2,47.97,32,12
20,20230405,11:16:09,35.36,51.04,60,25
21,20230406,07:40:34,51.89,75.28,47,18
22,20230406,09:13:36,28.12,77.47,68,26
23,20230406,09:20:20,51.68,75.6,27,10
24,20230406,10:58:02,38.55,54.19,64,26
25,20230406,10:58:19,39.55,53.24,115,37
26,20230406,14:21:44,40.33,-3.64,4,2
27,20230407,08:53:19,23.56,86.69,16,11
28,20230407,08:56:10,31.56,74.28,71,23
29,20230407,10:39:13,38.79,54.42,131,42
30,20230407,10:39:36,40.07,54.56,69,39
31,20230407,10:45:43,61.68,48.46,7,6
