date,time_UTC,lat,lon,source_rate_t/h,uncertainty
20230107,06:01:28,33.87,113.29,49,23
20230107,06:01:55,35.48,112.68,59,19
20230107,07:42:04,28.53,77.34,51,23
20230107,09:25:41,38.27,62.34,46,22
20230107,09:25:52,37.95,53.95,68,23
20230107,09:25:59,38.72,54.38,60,21
20230107,12:47:01,31.6,5.85,10,4
20230107,17:32:57,-34.48,-58.65,56,21
20230108,05:42:32,33.86,113.93,24,9
20230108,05:43:00,35.46,112.63,63,27
20230108,05:43:39,37.46,110.79,44,13
20230108,05:43:41,37.97,113.09,109,55
20230108,05:44:13,39.54,110.57,4,2
20230108,05:44:08,39.7,113.2,12,4
20230108,07:21:14,23.81,90.27,77,25
20230108,07:21:24,23.7,86.31,9,3
20230108,09:02:56,24.85,67.24,14,7
20230108,12:27:46,29.73,6.84,7,2
20230109,03:23:40,-32.78,151.31,27,23
20230109,05:24:22,35.62,112.38,73,43
20230109,05:24:50,36.52,109.76,22,8
20230109,05:24:48,37.51,113.52,38,15
20230109,05:25:03,36.79,108.09,23,8
20230109,07:02:30,23.9,90.28,27,11
20230109,07:02:49,23.64,86.41,6,2
20230109,07:03:06,27.34,95.37,33,14
20230109,08:43:21,22.98,72.51,10,4
20230109,08:44:08,24.85,67.05,77,27
20230109,10:22:51,15.59,45.78,26,10
20230109,20:36:08,31.38,-103.42,112,60
20230110,05:05:49,36.27,112.92,67,26
20230110,05:06:08,37.62,113.72,21,17
20230110,06:43:57,23.91,90.34,41,14
20230110,06:44:21,27.14,95.03,33,18
20230110,08:24:35,22.8,72.63,34,14
20230110,08:25:29,24.85,67.06,32,21
20230110,08:25:54,28.2,77.52,88,33
20230110,08:26:47,31.42,72.99,26,10
20230110,18:36:49,33.54,-87.04,34,18
20230110,18:36:51,35.48,-80.51,20,12
20230110,20:16:12,27.79,-101.22,16,7
20230110,20:16:18,28.75,-99.46,26,14
20230111,08:03:58,17.51,79.04,20,9
20230111,08:04:53,19.29,72.87,58,23
20230111,08:05:39,22.26,73.32,8,4
20230111,08:05:54,22.97,72.6,44,17
20230111,09:51:10,35.15,40.59,12,5
20230111,13:11:37,29.42,6.79,6,3
20230111,13:12:14,31.72,6.17,21,8
20230111,19:57:23,27.88,-101.19,6,4
20230112,06:08:15,35.0,107.83,43,14
20230112,06:08:39,36.68,109.81,24,9
20230112,06:08:36,36.25,107.69,42,16
20230112,07:45:49,21.1,84.64,23,12
20230112,07:46:14,20.92,78.94,13,7
20230112,07:46:30,23.74,86.52,24,11
20230112,07:46:24,23.62,90.79,48,15
20230113,07:27:29,22.1,83.74,14,5
20230113,07:27:42,23.75,86.44,37,16
20230113,07:27:34,23.84,90.44,119,58
20230113,19:21:21,31.36,-103.39,17,11
20230113,19:21:16,32.11,-101.61,62,31
20230113,19:21:11,32.21,-100.96,44,18
