name,lat,lng,category,Estimated amount of included waste,Waste concentration,Informal Sector,Status
BORDO PONIENTE,19.4529960,-99.0162990,Dumpsites,40000000,88889,1500,Inactive
CLUJ NAPOCA,46.76510351,23.68727446,Dumpsites,1600000,114286,0,Inactive
JARDIM GRAMACHO,-22.7489058,-43.2589781,Dumpsites,45000000,321429,1700,Inactive
PAYATAS,14.714258252,121.10675811,Dumpsites,7200000 - 10300000,280000 - 400000,3000,Active
DANDORA MUNICIPAL DUMPING SITE,-1.2492656896,36.895381378,Dumpsites,19500000 - 27750000,367000 - 523000,3000,Active
ORADEA,47.109640413,21.857020855,Dumpsites,1400000,86527,0,Inactive
LA CHURECA,12.1658554,-86.3033152,Dumpsites,6300000 - 9000000,150000 - 214000,1200,Active
BANTAR GEBANG,-6.347885868,106.997008324,Dumpsites,28280000 - 40400000,257000 - 360000,5000,Active
FRESH KILLS,40.57630306,-74.17419434,Dumpsites,220000000,247191,0,Inactive
OKHLA,28.323740,77.1781718,Dumpsites,7000000,129630,We need your support,Active
OLUSHOSUN,6.59272532,3.378510475,Dumpsites,17150000 - 24500000,401000 - 573000,1200,Active
BHALASWA,28.740419640,77.15741158,Dumpsites,2100000,129790,We need your support,Active
DEONAR,19.07231893,72.92677403,Dumpsites,11900000 - 17000000,90100 - 128000,1500,Active
TRUTIER,18.6101938,-72.33403802,Dumpsites,2100000 - 3000000,22300 - 31900,2000,Active
GHAZIPUR,28.62502474,77.327442169,Dumpsites,9800000 - 14000000,326000 - 466000,420,Active
EL TREBOL,14.62731301,-90.53275108,Dumpsites,6300000 - 9000000,326400 - 466300,2000,Active
K'ARA K'ARA,-17.4772867,-66.1243875,Dumpsites,2800000 - 4000000,112000 - 160000,5000,Active
STUNG MEANCHEY,11.53406243,104.89763259,Dumpsites,1000000,24716,2000,Active
KODUNGAIYUR,13.13435818,80.26847362,Dumpsites,7000000,49421,2000,Active
MEHMOOD BOOTI,31.60997221,74.38688278,Dumpsites,5500000 - 7850000,215600 - 307800,We need your support,Active
PERUGUNDI,12.95491878,80.2239275,Dumpsites,4000000,49419,We need your support,Active
SKAFIDARAS,35.32849231,25.05083442,Dumpsites,1200000,130435,0,Inactive
BARILOCHE,-41.17503619,-71.35499954,Dumpsites,1000000 - 1500000,100000 - 150000,200,Active
ALUSHTA,44.72191754,34.43486452,Dumpsites,600000 - 850000,171000 - 242000,0,Active
GASPRA,44.44940626,34.10666942,Dumpsites,1200000,200000,0,Active
IKSHA,56.2069068704264,37.4152708053588,Dumpsites,8000000,125984,We need you support,Active
NOVOSIBIRSK,55.0529690502102,83.0730986595153,Dumpsites,2000000,50000,We need your support,Active
SIDON,33.55026501,35.36456108,Dumpsites,1200000,217008,12,Active
BISHEK DUMPSITE,42.967222247752,74.58895790374,Dumpsites,7700000 - 11000000,200000 - 286000,1000,Active
PREDIO,-38.07528889,-57.6506611,Dumpsites,3084250,192766,We need your support,Active
DHAPA,22.53893819,88.42331171,Dumpsites,2299500,74177,We need your support,Active
PIRANA,22.98022411,72.567336559,Dumpsites,3600000,55385,We need your support,Active
REPI,8.975500449,38.71208667,Dumpsites,4500000,125000,We need your support,Active
BASURAL DE CONCEPCIÓN,-32.5032389,-58.2716222,Dumpsites,240000,We need your suppor,120,Active
BASURAL DE ROQUE SÁENZ PEÑA,-26.7747222,-60.4711111,Dumpsites,We need your suppor,We need your suppor,We need your support,Active
MBEUBEUSS,14.803593,-17.3132516,Dumpsites,7350000 - 10500000,42000 - 60000,1200,Active
LA DUQUESA,18.5608972,-69.9680215,Dumpsites,14700000 - 21000000,114000 - 164000,We need your support,Active
IERAPETRA,35.0427868013322,25.7296049594879,Dumpsites,We need your suppor,We need your suppor,0,Active
KERATEA,37.79826797,24.04171228,Dumpsites,150000 tons,30000,0,Inactive
KALYBIA,37.84654507,23.89797806,Dumpsites,250000 tons,69500,0,Inactive
SCHISTO,37.987199958,23.599641323,Dumpsites,13000000 tons,1040000,0,Inactive
DOUROUTI,39.6173138889,20.8146833333,Dumpsites,1200000 tons,62100,0,Inactive
ARTA,39.141727453,21.004834771,Dumpsites,205000 tons,65000,0,Inactive
TEGUCIGALPA DUMP,14.1484305556,-87.2241444444,Dumpsites,4000000 - 5700000,100000 - 142500,1500,Active
MOTI JHEEL,26.84452778,80.906347222,Dumpsites,288500,87957,We need your support,Inactive
AL AKAIDER,32.515153959462,36.112296581268,Dumpsites,5250000 - 7500000,58300 - 83300,40,Active
AL RUSSEIFEH,32.006602109102,36.055562496185,Dumpsites,10000000,142857,0,Inactive
ENEKA,4.8904136,7.0429872,Dumpsites,8400000 - 12000000,1680000 - 2400000,We need your support,Active
GOSA,8.9322945,7.2385383,Dumpsites,We need your suppor,We need your suppor,We need your support,Active
AWOTAN (APETE) DUMPSITE,7.463069444,3.84910556,Dumpsites,370000 - 525000,27200 - 38600,80,Inactive 2014
LAPITE,7.569898142051196,3.912607472144356,Dumpsites,95900 - 137000,4700 - 6000,We need your support,Active
AJAKANGA DUMPSITE,7.31251111111,3.84063888889,Dumpsites,850316,85032,We need your support,Inactive 2012
JAM CHAKRO,25.0281939884363,67.0339291409267,Dumpsites,14150000 - 20200000,125200 - 178700,5000,Active
ABULE EGBA,6.639253072107912,3.302121520882446,Dumpsites,1256363,123173,We need your support,Inactive
SOLOUS,6.570991605,3.253802697,Dumpsites,1591459,83761,We need your support,Inactive
SOLOUS 2,6.571507004259097,3.2517590808868224,Dumpsites,4000000 - 5750000,512000 - 737000,350 - 400,Active
AGBOGBLOSHIE,5.55395569456502,-0.227229314041323,Dumpsites,1750000 - 2500000,165000 - 235000,10000,Active
ESTRUTURAL,-15.7651276370249,-48.001059108324,Dumpsites,21000000 - 30000000,154000 - 220000,2500,Active
REQUE,-6.90746912029572,-79.7687662518676,Dumpsites,4000000 - 5700000,17000 - 24250,100,Active
