name,lat,lng,category,Status,Area,Amount of waste disposed,Annual capacity,Population served
GAOYAN,26.63574962,106.8029236,Sanitary Landfills,Active,75.0,2320000.0,435450,4324561
ASMOC,-3.79650349,-38.66917133,Sanitary Landfills,Active,78.0,24000000.0,1081848,3400000
BANDEIRANTES,-23.42216056,-46.75544142,Sanitary Landfills,Inactive,140.0,30000000.0,2000000,11316149
CAMPINAS,-22.91570936,-47.14701175,Sanitary Landfills,Inactive,26.0,3900000.0,300000,1080999
BAHIA BLANCA,-38.77201938,-62.1558380,Sanitary Landfills,Active,48.0,1350000.0,78144,301572
PUERTO DE CHIVOS,19.5869222,-99.2790699,Sanitary Landfills,Active,52.0,3300000.0,160600,8909
PEROBAS,-19.914218068,-44.058855772,Sanitary Landfills,Active,12.0,1200000.0,198404,617741
EL MOLLE,-33.08909661,-71.63502216,Sanitary Landfills,Active,96.0,2394000.0,130000,275982
EL GUACAL,6.260436111,-75.63139722,Sanitary Landfills,Active,27.0,1300000.0,190000,2743049
CHUNCHEON,37.797712686,127.6785778,Sanitary Landfills,Active,13.0,1048190.0,69040,273130
GANGNEUNG,37.68945798,128.9894485,Sanitary Landfills,Active,24.0,1376188.0,109000,229869
DNEPROPETROVSK,48.65355184,35.181741714,Sanitary Landfills,Inactive,29.0,740000.0,83900,1001612
GAOANTUN,39.9440085,116.6151194,Sanitary Landfills,Active,30.0,7000000.0,550000,3642000
GLIWICE,50.26333886,18.666973114,Sanitary Landfills,Active,15.0,1200000.0,120000,2746000
GERICINO,-22.84230502,-43.47491741,Sanitary Landfills,Active,17.0,7700000.0,460000,244518
GOIANIA,-16.64532007,-49.36599254,Sanitary Landfills,Active,26.0,7100000.0,460000,1301892
FEIRA DE SANTANA,-12.24439804,-38.9908647,Sanitary Landfills,Active,10.0,500000.0,130000,740000
LEPANTO DEPOSIT I,-33.62937825,-70.668911934,Sanitary Landfills,Inactive,18.0,7371100.0,We need your suppo,246762
HASARS,20.91887362,-103.4544324,Sanitary Landfills,Active,10.0,4600000.0,450000,1155790
LEGAJNY,53.81717293,20.6258440,Sanitary Landfills,Inactive,12.0,1600000.0,1600000,113529
KONSKIE,51.18041908,20.37654876,Sanitary Landfills,Active,5.0,396880.0,11000,20328
KOBIERNIKI,52.61391484,19.59372997,Sanitary Landfills,Active,2.0,240000.0,18000,126675
KATOWISE,50.32679268,18.98333430,Sanitary Landfills,Active,5.0,320.0,45000,308724
GAC OLAWA,50.888145302,17.39084243,Sanitary Landfills,Active,3.0,370000.0,65000,38303
GORNJI MILANOVAC,43.98985047,20.42630911,Sanitary Landfills,Active,2.0,199148.0,16500,44438
JASTRZEBIE,49.96866843,18.6443996,Sanitary Landfills,Active,10.0,500000.0,70000,92462
JILIN CITY LANDFILL,43.90101561,126.45276546,Sanitary Landfills,Active,30.0,2500000.0,300000,1975803
KARGASHINO,55.9622764,37.7585144,Sanitary Landfills,Active,12.0,1320000.0,100000,11503501
