,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,kt_methane,,,,,609.4519882,608.9110281,602.7783421,601.1321161,577.8134838,582.7433347,526.167847,521.5449052,493.8916611,498.8553676,491.0313789,492.8691952,499.8631243,461.9315588,444.4149494,438.1342381,427.259332,439.0341218,455.587317,452.7720331,464.0886448,447.8252672,398.5366076,367.7363169,366.4432195,348.2378954,352.8829681,363.57841,343.9106844,364.8504128,364.9405221,359.8537895,
AUT,kt_methane,,,,,145.7555878,148.5679692,146.9702218,145.6300045,141.2734332,134.2044184,126.6430242,120.9459123,116.2077092,111.3481709,106.6739159,102.3191787,101.9555024,101.8054165,103.4658891,97.51000083,92.54680295,87.35740759,82.94288403,76.37198093,70.63713102,65.40268103,60.76624687,55.94111186,51.25149053,47.41929515,43.61835591,40.53509086,37.5722518,35.29965073,33.24269372,31.36545719,
BEL,kt_methane,,,,,118.6881178,123.9366961,127.708531,115.0209673,122.6733808,123.1004291,120.2030682,122.3558542,119.1540979,114.0901548,109.8441057,95.47121264,89.824025,77.47708755,77.85990901,70.38820983,67.5394773,62.73491263,57.70292828,54.76147288,49.17803807,47.48707601,45.74379748,41.42887636,38.65190008,34.13198605,32.19478822,31.04944705,28.03736327,25.90236669,22.98339292,20.76003131,
BGR,kt_methane,,,71.46375535,73.57491925,74.98303542,74.44111723,73.78015496,74.66114146,82.54402041,88.3577261,92.30896239,94.81541001,95.81344591,96.81233941,98.2297118,99.32629273,100.2640784,101.2193282,101.8288801,102.5904376,102.0875063,102.4685893,103.9511916,105.4649505,105.7767158,106.5040777,104.6068165,102.4577194,98.66095652,97.1153016,94.60360124,90.80270861,87.88172398,85.02798311,82.28748416,79.95398946,
BLR,kt_methane,,,,,68.16040722,68.66353883,69.13237907,69.56995958,69.9747694,70.37894849,70.90609111,72.46658946,73.96322052,75.51692655,77.33755485,79.20282587,81.02788798,82.95294355,85.47973672,89.13112508,90.23525314,91.78112167,92.95795894,94.67591299,96.81805298,99.49541741,101.9935846,104.5444892,106.5072264,108.124729,109.512576,110.9413546,112.1006832,112.9529087,111.25689,106.85426,
CAN,kt_methane,,,,,681.0965253,681.589855,684.841065,695.5427601,704.4422442,704.3564925,695.3311327,695.0226779,709.2851122,740.7450141,756.791745,744.0780794,757.9190142,761.0773854,762.8925485,766.867207,772.4286188,755.6001156,756.1790017,720.2086172,696.4122437,694.7156344,709.6741777,720.2299545,719.517905,717.4521019,712.0306702,722.1224393,720.6454814,715.8153634,714.2035547,717.3728401,
CHE,kt_methane,,,,,30.7896,27.0993,27.1695,25.3261,23.041,23.0987,22.6684,22.1177,21.4611,21.0018,21.001,21.6013,22.0564,20.9624,21.5082,21.176,20.9457,20.1786,19.2406,18.3023,17.5524,16.7589,16.0188,15.3308,14.7419,14.0654,13.4245,12.7901,12.1037,11.4113,10.8814,10.3365,
CYP,kt_methane,,,,,10.5487652,10.73983321,10.94341035,11.17522147,11.41423483,11.66992987,11.96509089,12.26659594,12.57710625,12.88886148,13.20472884,13.52986866,13.88388391,14.24361996,14.61994778,15.0124841,15.40478541,15.83632151,16.2838798,16.75294847,17.22053465,17.69503883,18.10045668,18.54840386,18.87549615,19.08541875,19.32359218,19.58258981,19.823712,20.05515128,20.28095961,20.43243426,
CZE,kt_methane,,,,,71.70771196,74.9965889,77.87219265,81.06420635,84.22043565,87.17156927,88.80884781,92.19448937,95.50170952,98.79739859,101.0868714,103.9680568,106.7596452,109.8742433,108.3122426,109.7316191,111.0781431,110.0109966,115.5019363,119.5239249,123.8889125,125.1365304,126.9048794,128.619386,126.46683,127.9303701,127.6342429,127.9152153,129.038743,130.4759381,131.7501059,133.0327106,
DEU,kt_methane,,,,,1328.259,1404.375,1438.147,1434.08,1400.458,1352.042,1287.858,1171.145,1081.898,1008.313,938.27,866.374,801.407,738.15,646.203,584.307,518.257,463.195,414.772,365.441,321.971,288.126,258.33,231.116,207.022,185.423,166.328,153.005,140.878,122.383,106.182,91.934,
DNK,kt_methane,,,,,54.72290356,54.48819921,53.39155424,52.3091959,48.54309825,44.55959181,42.69779039,38.80788777,35.51235124,35.88154296,35.19761271,34.91000977,31.77545552,32.57821904,27.55229077,26.60358452,28.53380471,26.86323856,25.89700662,24.52637846,22.13574374,22.5964216,22.15881065,21.0874499,20.88407632,19.82601816,18.7276347,17.99148753,17.58544922,16.93806038,16.70050584,15.79768443,
ESP,kt_methane,,,,,218.9521671,233.4414598,250.746677,266.6060335,279.9803783,295.9801717,309.0767519,327.0130566,342.3760773,357.7694924,368.8389743,383.2580718,391.8229018,384.7688026,369.4363463,380.3796614,391.1595591,401.0176179,409.886293,463.2152144,423.8406526,447.2779746,446.0117005,433.7760576,398.4323181,428.2636877,409.72363,401.4707377,396.3941402,384.1904604,373.2761175,370.6335916,
EST,kt_methane,,,,,8.548720753,9.144387222,9.675268689,10.59402472,10.60444605,10.15189209,11.88462075,14.24818172,15.54375382,15.79931163,17.50413985,17.90363134,17.60492373,16.81972784,16.89225558,15.53919941,14.81316939,13.96576222,13.70592501,14.46425156,14.20709963,13.08792819,12.02132511,10.44353196,9.384787774,8.543857189,7.806532254,7.6823461,7.260862617,7.270835353,6.956461637,7.032185987,
FIN,kt_methane,,,,,173.1099901,175.3835834,176.0328738,175.6791948,173.0405499,169.8044972,165.3559699,160.6295107,152.6751721,148.5377491,138.5375027,132.1299292,121.9071123,113.5985002,107.1514386,97.22035469,100.0615363,95.43742718,90.92841246,87.22904869,86.75717625,83.05888735,81.42303575,76.62067884,71.36066352,69.22648046,64.29850974,60.35836207,58.68975389,57.02729629,55.4004444,52.50233514,
FRA,kt_methane,,,,,472.6332693,497.6348611,525.1398235,553.3578528,564.8356854,574.3212328,580.4006177,588.209842,608.3724032,619.1012987,630.7813402,642.725024,653.3477473,658.5328482,656.9644449,649.7047489,646.4972116,648.331757,647.1802875,622.92422,621.3401835,582.9313643,568.2412237,511.6827972,478.3475241,449.5842488,451.072073,454.8393961,445.5496026,478.0094788,477.4320206,448.2065325,
GBR,kt_methane,,,,,2415.476831,2439.673052,2442.970909,2464.302835,2485.761014,2530.514048,2538.483875,2530.799047,2490.819245,2380.420257,2281.394758,2232.815173,2185.760725,2038.49073,1863.271164,1755.584308,1628.811561,1496.80769,1323.383488,1166.614064,977.8738086,889.826044,831.2936804,712.441347,615.8278335,592.4479068,563.3561324,570.5713472,573.8642934,565.7701878,516.5377011,492.0390764,
GRC,kt_methane,,,,,89.72151215,92.45637388,95.40356722,98.5032454,101.8101378,105.3031457,108.970497,112.8528823,116.8971405,121.0624222,126.0155946,109.2625661,114.1948362,122.3936926,124.5701914,132.7828672,138.3331275,135.987276,140.1704179,130.0711246,137.783048,129.0936347,120.8510051,124.3462515,126.7118158,125.9063311,125.7944534,130.0279551,133.9419732,132.9832926,137.3725661,149.3769365,
HRV,kt_methane,,,,,13.24606016,14.00238816,14.71975477,15.41444194,16.13935106,16.9287727,17.8631585,18.8815661,20.02389571,21.20833628,22.56685858,23.91724254,25.47052731,27.21366175,28.91236038,28.74915883,31.72808178,34.41669526,37.64557687,40.88548109,41.86645454,43.22602929,44.40899878,44.21258059,45.92537503,47.75920409,48.75982522,50.50779634,50.19251067,49.20679861,49.75235457,45.20030465,
HUN,kt_methane,83.7451172,88.40106197,93.0731247,97.52177315,101.3239669,105.09226,107.3270885,109.9904497,112.0485806,114.3648948,116.2513847,118.5984867,121.3313129,124.1757435,127.1523548,128.0444981,132.1277391,135.5438605,136.5946374,138.0646766,137.4666652,137.9164592,136.8485737,137.8107392,136.4892712,130.5172133,133.3150446,126.0724067,122.6142811,121.0743286,117.4489308,117.4606223,117.0483021,116.7572559,116.0111976,115.2231646,
IRL,kt_methane,,,,,52.72300019,55.94304958,58.45731757,60.42352507,62.24264028,63.71036361,58.87478443,48.50898241,50.53703986,50.45149588,50.72654943,54.57884081,57.50573559,58.28540696,47.63409137,40.27994222,41.97182188,24.63971199,18.55368173,11.39219633,11.14586029,15.26244534,12.11166191,18.43879773,25.92404283,29.07706822,29.98243437,28.71620953,27.7083738,26.5127563,26.38341557,25.11399578,
