date,time_UTC,lat,lon,source_rate_t/h,uncertainty
20230114,07:08:26,20.9,85.23,19,8
20230114,08:51:47,30.09,71.81,23,8
20230114,08:52:08,31.45,74.26,17,6
20230114,11:58:43,-26.63,29.01,30,20
20230114,12:16:00,31.73,5.95,31,13
20230114,19:01:18,30.83,-90.02,7,4
20230115,08:29:48,19.12,72.87,65,30
20230115,08:32:53,30.44,71.9,19,9
20230115,08:33:11,31.55,74.29,64,26
20230115,11:40:01,-26.62,29.04,17,7
20230115,18:23:05,-34.6,-58.51,74,40
20230115,20:20:14,19.68,-99.18,16,9
20230115,20:20:27,20.45,-97.32,34,13
20230116,08:10:16,17.56,78.7,13,6
20230116,08:11:08,19.24,72.77,59,33
20230116,08:12:37,26.26,80.54,8,4
20230116,08:13:22,28.41,77.5,63,26
20230116,08:14:13,31.22,74.62,33,15
20230116,08:14:16,31.28,73.6,27,12
20230116,18:23:07,29.53,-83.27,28,14
20230116,20:01:20,19.66,-99.12,28,10
20230117,07:53:48,26.29,80.47,14,6
20230117,07:54:32,28.37,77.56,52,24
20230117,07:55:35,31.58,74.34,53,23
20230117,07:55:46,32.17,74.34,19,7
20230117,09:38:38,38.54,54.17,51,16
20230117,17:45:33,-34.56,-58.73,43,17
20230118,07:35:09,26.78,80.99,8,3
20230118,07:35:59,28.5,77.33,54,18
20230118,09:19:57,38.69,54.26,72,24
20230118,10:59:08,31.42,34.6,10,4
20230119,07:15:03,23.75,90.41,34,11
20230119,08:55:00,19.25,72.83,98,40
