,date,time_UTC,lat,lon,source_rate_t/h,uncertainty
0,20230127,19:58:59,33.58,-99.72,144,58
1,20230128,07:45:32,17.55,78.58,30,10
2,20230128,07:45:55,21.06,85.05,15,5
3,20230128,07:46:33,23.58,86.49,18,8
4,20230128,07:48:27,28.6,77.38,16,7
5,20230128,12:53:27,31.63,5.86,20,10
6,20230128,12:56:20,40.06,-3.65,56,22
7,20230128,19:36:28,19.61,-99.17,22,8
8,20230129,07:27:41,23.94,90.27,55,20
9,20230129,07:27:47,23.76,86.4,34,13
10,20230129,07:28:32,25.55,82.96,4,2
11,20230129,07:29:06,27.01,80.92,12,6
12,20230129,09:09:24,25.05,67.11,168,53
13,20230129,09:13:14,37.96,61.56,66,23
14,20230129,12:34:48,31.93,6.14,34,11
15,20230130,05:31:09,36.61,109.7,12,5
16,20230130,07:08:49,23.79,90.26,49,29
17,20230130,07:09:10,23.77,86.33,9,3
18,20230130,07:09:35,27.33,95.26,21,12
19,20230130,08:54:13,37.51,61.81,25,10
20,20230130,12:16:06,31.75,5.97,31,11
21,20230131,06:50:44,27.26,95.21,22,9
22,20230131,08:33:13,31.54,74.32,32,10
23,20230131,13:40:11,40.22,-3.74,11,9
24,20230201,08:14:09,30.15,71.47,18,9
25,20230201,13:18:44,31.74,6.13,58,20
26,20230201,13:21:17,39.92,-3.97,20,13
27,20230201,20:01:21,19.43,-99.04,49,21
28,20230202,06:09:37,13.79,100.3,34,14
29,20230202,07:54:19,26.85,75.77,25,11
30,20230202,09:38:18,37.6,62.12,87,37
31,20230202,09:38:44,38.69,54.25,45,16
32,20230202,13:02:34,40.32,-3.59,5,2
33,20230203,07:33:54,23.79,90.42,43,23
34,20230203,09:15:43,24.99,66.68,112,37
35,20230203,12:43:59,40.29,-3.61,15,8
36,20230203,19:27:34,32.47,-101.68,26,9
37,20230203,19:27:33,31.97,-102.09,23,12
38,20230203,19:27:42,34.94,-95.06,5,5
39,20230203,19:27:49,34.75,-97.66,18,8
