,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230204,07:12:56,16.9,96.17,49,16
1,20230204,07:14:59,23.56,90.64,101,39
2,20230204,07:15:54,27.31,95.44,24,9
3,20230204,08:56:46,24.85,67.04,122,40
4,20230204,08:58:10,30.22,71.46,27,13
5,20230204,12:25:27,40.25,-3.72,7,6
6,20230204,20:49:00,31.4,-103.28,111,81
7,20230205,05:18:43,37.74,113.54,171,70
8,20230205,06:55:53,22.39,91.9,34,14
9,20230205,06:56:21,23.43,90.68,116,39
10,20230205,08:35:58,18.69,73.71,10,5
11,20230205,08:37:10,22.96,72.57,11,6
12,20230205,10:18:56,21.72,39.26,25,8
13,20230205,12:03:43,31.65,6.19,11,5
14,20230205,20:26:58,20.71,-103.07,32,21
15,20230205,20:29:58,31.47,-103.42,79,47
16,20230205,20:30:06,32.01,-101.75,74,32
17,20230205,20:30:17,32.78,-102.7,192,88
18,20230206,06:37:44,23.74,90.82,117,63
19,20230206,08:16:27,16.91,79.03,11,6
20,20230206,08:16:34,17.42,78.67,21,10
21,20230206,08:17:18,18.9,72.89,62,21
22,20230206,08:17:45,20.62,72.99,30,16
23,20230206,08:18:28,23.14,72.56,40,13
24,20230206,08:19:05,26.5,80.25,18,10
25,20230206,08:20:31,31.08,73.58,82,33
26,20230206,08:23:14,37.66,62.28,132,70
27,20230206,13:27:35,39.93,-4.57,49,19
28,20230206,18:30:48,33.56,-87.38,16,9
29,20230206,20:07:39,19.59,-98.95,21,13
30,20230206,20:11:03,31.38,-103.4,13,5
31,20230206,20:11:24,32.72,-102.99,79,30
32,20230207,07:56:38,12.95,80.18,20,10
33,20230207,07:59:01,23.03,88.91,33,16
34,20230207,07:59:49,22.82,72.16,38,16
35,20230207,08:00:17,26.81,81.27,28,10
36,20230207,08:00:45,28.29,78.18,95,32
37,20230207,08:01:47,30.22,71.48,17,11
38,20230207,08:01:53,31.19,74.59,49,21
39,20230207,08:04:26,40.73,72.34,21,8
40,20230208,07:40:22,24.22,90.37,99,53
41,20230208,21:15:58,36.39,-119.64,19,9
42,20230208,21:16:15,37.5,-120.84,21,13
43,20230209,07:21:06,22.51,88.41,11,9
44,20230209,07:21:31,23.75,86.52,24,10
45,20230209,09:02:27,23.12,72.45,40,18
46,20230209,09:03:05,25.05,67.85,125,44
47,20230209,12:27:57,29.71,6.81,8,4
48,20230209,17:36:57,47.35,-65.57,19,13
49,20230209,19:13:51,29.42,-95.2,6,6
50,20230209,19:14:27,32.12,-93.37,15,13
51,20230210,07:02:26,22.47,88.34,70,30
52,20230210,07:02:24,23.17,90.71,138,52
53,20230210,07:02:56,23.75,86.72,23,11
54,20230210,07:10:55,54.15,87.26,45,15
