,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20230429,10:27:06,37.89,53.83,115,37
1,20230429,10:27:18,38.57,53.86,69,31
2,20230429,10:27:36,39.58,53.18,74,39
3,20230429,10:28:08,42.3,58.2,10,10
4,20230429,10:29:49,48.36,57.14,14,5
5,20230429,13:47:07,27.9,9.86,13,5
6,20230430,06:44:16,35.49,112.81,67,24
7,20230430,06:44:30,36.27,112.94,75,43
8,20230430,06:44:58,37.8,110.95,22,10
9,20230430,10:08:37,38.57,54.28,46,16
10,20230430,10:08:53,39.32,53.75,143,49
11,20230430,20:15:38,32.4,-93.51,41,21
12,20230430,20:16:27,33.49,-99.54,111,59
13,20230501,06:24:53,33.81,116.39,43,18
14,20230501,11:29:12,32.03,36.22,11,8
15,20230502,09:30:57,41.21,68.98,103,45
16,20230502,11:14:54,49.89,39.0,65,21
17,20230503,09:12:17,41.43,69.18,34,17
18,20230503,09:14:43,51.29,74.54,42,13
19,20230503,10:56:05,48.11,36.87,11,8
20,20230504,08:49:50,28.67,77.3,17,6
21,20230504,08:53:38,41.3,69.14,24,22
22,20230504,08:55:51,51.58,75.5,25,9
23,20230504,18:40:37,-34.54,-58.62,83,34
24,20230504,20:36:47,17.93,-92.64,30,12
25,20230505,04:50:00,-32.46,151.04,20,16
26,20230505,04:51:56,-25.82,148.87,5,2
27,20230505,04:52:40,-23.31,148.24,13,5
28,20230505,08:36:47,49.61,72.54,7,4
29,20230505,08:37:01,51.56,75.45,19,8
30,20230505,10:10:35,24.91,67.19,96,37
31,20230505,11:55:00,35.22,40.89,16,8
32,20230506,04:31:12,-32.84,151.05,34,23
