Country_code_A3,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,kt_methane,0.310026656,0.350206067,0.35239826,0.354618863,0.356221509,0.35692893,0.356485487,0.355133262,0.353460439,0.352493043,0.352866439,0.355249028,0.359462391,0.364277805,0.367985937,0.369227348,0.367199352,0.362569567,0.357963675,0.357079425,0.362708316,0.375586158,0.392900277,0.414149967,0.436069117,0.451728083,0.461093234,0.471207052,0.476026896,0.479055357,0.486938484,0.488647893,0.489209313,0.493419179,0.501325976,0.502867792,0.501607686,0.49916255,0.494201672,0.480276973,0.471522325,0.473467,0.473424949,0.477507863,0.479625116,0.480194043,0.482857539,0.486891717,0.49084274,0.494029198,0.497236342,0.500720068
AFG,kt_methane,1.857708632,2.253174974,2.402628052,2.558208418,2.717047854,2.87601917,3.049358148,3.224811256,3.392079527,3.53829283,3.652969717,3.748602162,3.810218631,3.846695924,3.878777174,3.927210408,3.96943666,4.033807413,4.14343327,4.324251336,4.596264203,4.932993051,5.371821166,5.87512744,6.373564109,6.812744248,7.165617543,7.44161543,7.676218606,7.928111921,8.243448661,8.655698575,9.142236126,9.837912796,10.26960175,11.08514254,11.74999174,12.7904017,13.43995693,14.92522171,16.30433313,16.96264826,18.29435483,19.38610691,20.26551379,21.03398552,21.78507743,22.56452064,23.22190079,23.94234456,24.68513962,25.41088079
AGO,kt_methane,1.710460195,2.098630146,2.275868736,2.465690252,2.668271559,2.883862892,3.141626135,3.419900433,3.717329476,4.037415552,4.383241976,4.789760421,5.233626164,5.707088715,6.202575526,6.713283916,7.269160084,7.844092162,8.441257586,9.074828073,9.758130872,10.46004331,11.00182707,10.85634279,11.4765361,12.69402069,13.95590962,15.0566454,16.08764068,17.06274185,18.13494366,19.36158366,21.17492788,22.63472481,24.57926105,26.98003507,29.20373762,31.69538264,34.19126386,36.01215726,38.1529679,40.32349741,43.06316288,45.6794446,48.36474204,50.73253358,52.31093261,54.10101055,55.69862514,57.53737954,59.43683593,61.15554213
AIA,kt_methane,0.032790742,0.033022218,0.033253694,0.03348517,0.033716646,0.033948122,0.034022891,0.03409766,0.034172429,0.034247198,0.034321966,0.034280997,0.036603905,0.036597635,0.036553793,0.03650995,0.038342572,0.040175194,0.042007816,0.043840438,0.04567306,0.047282084,0.048891109,0.050500133,0.052109158,0.053718182,0.054991486,0.056378359,0.057642848,0.059026783,0.060410718,0.062122082,0.063968974,0.065683971,0.067398969,0.069113967,0.070350996,0.071588026,0.072825055,0.074062085,0.075299114,0.076220051,0.077140987,0.078061923,0.078982859,0.079903795,0.079903795,0.079903795,0.079903795,0.08027217,0.080642243,0.080789932
ALB,kt_methane,2.376079818,2.773717935,2.86202283,2.951906307,3.043322064,3.136290267,3.232668018,3.331095898,3.43141137,3.533643336,3.637883717,3.749572321,3.862372469,3.97831944,4.10203153,4.236255309,4.385775348,4.547151683,4.706173331,4.841663936,4.937459793,4.597048618,4.496087174,4.637408023,4.791864517,5.0180992,5.237076413,5.197014581,5.407071164,5.71582834,5.956002683,6.280052981,6.566872834,6.861699041,7.157012714,7.449843894,7.760851338,8.070730193,8.406264804,8.683502724,8.974883306,9.261087779,9.543654171,9.83366607,10.15118367,10.48899598,10.76031868,11.03766561,11.32480634,11.58822843,11.85777789,12.12979775
ARE,kt_methane,4.139271106,5.453798014,6.503843155,7.762787733,9.218143296,10.85059991,12.71352867,14.76748285,16.90862988,18.99372741,20.91384458,22.47269545,23.80107515,25.00544758,26.22234494,27.56060687,29.07164345,30.72364258,32.49829617,34.3653262,36.30121138,38.08512163,40.05662654,41.99140698,44.23139587,46.49789658,49.20166851,52.2747555,55.03188816,58.13394757,62.20236997,65.80280526,69.60348193,74.9032915,82.30872691,91.82939073,104.8835804,119.6923684,135.4011221,148.2321458,159.6418281,169.2168807,175.6168849,180.0618431,183.5768084,187.493937,191.0564666,194.2245569,197.7082433,201.0722215,204.4934372,207.8784102
ARG,kt_methane,162.6030001,183.9299988,188.5869994,193.4140001,198.315998,203.2159991,207.9579995,212.6679994,217.404998,222.2490012,227.2570018,232.6339988,238.2039984,243.9260004,249.7649995,255.691001,261.5149976,267.3899983,273.326998,279.3190022,285.3589992,295.1589985,304.8680006,314.8300012,323.5450013,326.6369997,334.257999,344.0919985,351.4960017,353.7240034,357.2489967,358.2790038,353.9120008,363.3890001,374.7090032,328.1248954,337.406905,236.2991489,184.8928989,184.9496862,190.2189754,194.737328,196.689464,199.6533012,200.9262412,203.9588443,205.1589598,207.9448774,208.8910568,210.6145832,212.3523301,213.9831261
ARM,kt_methane,9.337198499,11.04741009,11.52369794,12.0097997,12.50193574,12.99692569,13.42112269,13.83297598,14.24290237,14.65259988,15.06334164,15.38407937,15.68251094,15.97851179,16.28546847,16.61067371,16.91957083,17.24129145,17.53531833,17.73378944,17.78699871,17.0060526,14.1195454,13.07242928,12.97689528,13.04781062,13.1132283,13.09992402,13.25084124,13.27941326,13.3829513,13.66915829,14.1044799,14.58006988,14.92645316,15.35475252,15.76211791,10.02208031,10.28239288,9.878481801,9.823587298,9.901858166,10.06119297,10.15923474,10.25651192,10.3417791,10.38151637,10.56972085,10.72634433,10.84674467,10.96849648,11.0953165
ATG,kt_methane,1.076303898,1.230319596,1.25230526,1.27262134,1.291579563,1.309160935,1.325786535,1.340974614,1.353745313,1.362244754,1.365475385,1.363321441,1.356509885,1.345944043,1.333138657,1.319527441,1.30527036,1.290998757,1.279638523,1.274617551,1.278831615,1.279887521,1.284745868,1.304745441,1.33294854,1.335939713,1.360178509,1.385605998,1.408303253,1.425998375,1.447253966,1.423063667,1.405735096,1.399674296,1.39286208,1.386925839,1.394300212,1.394884023,1.372430653,1.316642885,1.270106984,1.253605293,1.253130439,1.245780657,1.247851427,1.24954795,1.266198321,1.279217107,1.295690623,1.308898057,1.322240119,1.337105773
AUS,kt_methane,459.4079989,466.4819953,473.5520022,480.6220041,487.6920017,494.7629979,500.6150034,506.4670057,512.316001,518.1680034,524.0200018,531.7489965,539.4820018,547.2110019,554.940006,562.6729993,572.0569982,581.4439983,590.8263003,600.208695,609.5954066,608.803891,602.5177069,600.7053533,577.2213255,581.9686895,525.1134072,520.3328368,492.5788206,497.4824019,489.5736669,491.2311503,498.206523,460.2501608,442.5761953,435.9292096,424.8561654,436.0855994,452.3181522,449.0410215,459.9501433,442.4492481,390.7009403,387.5564321,360.3409549,340.0946285,352.6236951,357.3705068,362.0713282,366.0773201,370.1276347,374.582139
