,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,,,,,609.4519882,608.91102809,602.7783421,601.1321160699999,577.81348383,582.74333473,526.1678469999999,521.54490516,493.89166109,498.85536762000004,491.03137888000003,492.86919520000004,499.86312427999997,461.93155881999996,444.41494939,438.13423809,427.25933203,439.03412183,455.587317,452.77203310000004,464.08864477,447.82526716,398.53660758,367.73631687,366.44321954,348.23789538,352.88296809,363.57840997999995,343.91068437,364.85041276000004,364.94052211999997,359.85378945,
AUT,,,,,145.75558782446652,148.56796918889563,146.97022181157647,145.63000445133918,141.273433237042,134.2044183693208,126.64302422379305,120.94591228542922,116.20770922961783,111.34817094250373,106.67391591755265,102.31917868584956,101.95550243136061,101.8054165206924,103.4658890992542,97.51000083357032,92.54680294656666,87.357407588533,82.94288403466393,76.37198092510577,70.63713102414859,65.40268102705505,60.76624686860932,55.94111186489934,51.25149053086109,47.41929515468756,43.61835590621177,40.53509085965835,37.57225179958924,35.29965073348713,33.24269372385616,31.36545718963186,
BEL,,,,,118.68811784232,123.93669608641761,127.7085309756059,115.02096734401476,122.67338083292992,123.10042906069877,120.20306815940285,122.35585424574356,119.15409793434543,114.09015479489906,109.84410567771526,95.47121263533958,89.82402500395702,77.47708754952899,77.8599090121099,70.3882098311139,67.53947729522977,62.7349126306603,57.70292827603208,54.76147288004779,49.17803806795172,47.48707601337479,45.74379747922684,41.42887636468738,38.65190008056851,34.1319860523906,32.1947882242944,31.04944705212074,28.03736327222704,25.90236668526129,22.98339291690542,20.76003130606608,
BGR,,,71.46375534997304,73.57491925352352,74.98303542295737,74.4411172271136,73.78015496383027,74.66114146300036,82.54402040963177,88.35772609524626,92.30896238894631,94.81541000732759,95.81344590784066,96.8123394065864,98.22971179739811,99.32629273180365,100.2640784308544,101.21932817850615,101.82888013445894,102.59043762350763,102.08750630385008,102.46858929769726,103.95119160975084,105.46495046957538,105.77671577092133,106.50407767849882,104.60681650921074,102.45771941513554,98.66095652448072,97.11530160193136,94.6036012414881,90.80270860580742,87.88172398350554,85.02798311185948,82.28748415766542,79.95398946279059,
BLR,,,,,68.16040722099268,68.66353883291367,69.13237906869375,69.56995958349124,69.97476939847621,70.3789484915072,70.9060911065992,72.46658945629675,73.96322052300299,75.51692654675753,77.3375548535018,79.20282586848225,81.02788798057453,82.95294354686787,85.47973671989332,89.13112507718725,90.23525313825591,91.78112167478156,92.95795893925252,94.67591298722539,96.8180529803954,99.4954174083321,101.99358463608912,104.54448918779329,106.50722638876267,108.12472897783269,109.51257599850194,110.94135459096883,112.10068320393056,112.9529086746291,111.25689,106.85426,
CAN,,,,,681.0965253267984,681.5898549759285,684.8410649555824,695.5427601222777,704.4422441627216,704.3564925322964,695.331132724076,695.0226778587942,709.2851121908739,740.7450141050008,756.7917449864207,744.0780793629605,757.9190141877441,761.0773854464546,762.8925485000223,766.8672069947545,772.4286187684854,755.6001156232454,756.1790016804656,720.2086172344791,696.412243732655,694.7156344459911,709.6741776631078,720.229954502009,719.5179049916371,717.4521018848751,712.0306701943662,722.1224392719037,720.6454814102689,715.8153634194393,714.203554652425,717.3728400606228,
CHE,,,,,30.7896,27.0993,27.1695,25.3261,23.041,23.0987,22.6684,22.1177,21.4611,21.0018,21.001,21.6013,22.0564,20.9624,21.5082,21.176,20.9457,20.1786,19.2406,18.3023,17.5524,16.7589,16.0188,15.3308,14.7419,14.0654,13.4245,12.7901,12.1037,11.4113,10.8814,10.3365,
CYP,,,,,10.5487652044278,10.73983321419381,10.9434103509483,11.17522147184537,11.41423483135221,11.66992987149902,11.96509088565782,12.26659593950492,12.57710625278672,12.88886148359562,13.20472884414542,13.52986865990842,13.88388391342997,14.24361996276599,14.61994777515932,15.01248410160082,15.40478540668314,15.83632151270911,16.28387980153003,16.7529484688364,17.22053465227779,17.69503883469127,18.10045668023993,18.54840385634279,18.87549615195137,19.08541875100174,19.32359217989301,19.58258981244812,19.82371199830218,20.05515127696839,20.28095960777013,20.43243426427857,
CZE,,,,,71.70771195719595,74.99658890403656,77.87219265454618,81.06420634679992,84.22043564709884,87.17156926614783,88.80884780888405,92.19448936573869,95.50170951810136,98.79739859022361,101.08687144136431,103.96805676851814,106.75964516969866,109.87424329834143,108.31224260448533,109.73161913525753,111.07814306391684,110.01099657462036,115.50193628620364,119.52392493665666,123.88891252002614,125.1365303842855,126.90487942578686,128.61938604476788,126.46682998405461,127.9303700513146,127.63424287250527,127.91521530421531,129.0387430039111,130.47593808791953,131.7501058750531,133.03271058105787,
DEU,,,,,1328.259,1404.375,1438.147,1434.08,1400.458,1352.042,1287.858,1171.145,1081.898,1008.313,938.27,866.374,801.407,738.15,646.203,584.307,518.257,463.195,414.772,365.441,321.971,288.126,258.33,231.116,207.022,185.423,166.328,153.005,140.878,122.383,106.182,91.934,
